ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix,Alive or not,Basis of measurement,Biota species name (in Latin),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea"
22042,Implementation of WFD Montenegro,Real Sample,Budva Bay-Slovenska plaza,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Budva,Montenegro,42.28494389,18.85147194,,,,,Adriatic sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Adriatic sea
22043,Implementation of WFD Montenegro,Real Sample,Kotor Bay-IBM,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Kotor,Montenegro,42.43636111,18.76397194,,,,,Adriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Bay of Kotor
22044,Implementation of WFD Montenegro,Real Sample,Kotor Bay-IBM,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Kotor,Montenegro,42.43636111,18.76397194,,,,,Adriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Bay of Kotor
22045,Implementation of WFD Montenegro,Real Sample,Shen Gjergjit,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Fraskanjel,Montenegro,41.96885694,19.38446389,,,,,Adriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Bojana
22046,Implementation of WFD Montenegro,Real Sample,Shen Gjergjit,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Fraskanjel,Montenegro,41.96885694,19.38446389,,,,,Adriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Bojana
22047,Implementation of WFD Montenegro,Real Sample,Skadar Lake-Vranjina,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Vranjina,Montenegro,42.26983333,19.11501083,,,,,Adriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Skdar Lake National Park
22048,Implementation of WFD Montenegro,Real Sample,Skadar Lake-Vranjina,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Vranjina,Montenegro,42.26983333,19.11501083,,,,,Adriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Skdar Lake National Park
22049,Implementation of WFD Montenegro,Real Sample,Rijeka Crnojevica,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Rijeka Crnojevica,Montenegro,42.35670278,19.01242778,,,,,Adriatic sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Rejka Crnojevica
22050,Implementation of WFD Montenegro,Real Sample,Rijeka Crnojevica,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Rijeka Crnojevica,Montenegro,42.35670278,19.01242778,,,,,Adriatic sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Rejka Crnojevica
22051,Implementation of WFD Montenegro,Real Sample,Gradski kolektor,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Podgorica,Montenegro,42.43194722,19.22448083,,,,,Andriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Moraca
22052,Implementation of WFD Montenegro,Real Sample,Gradski kolektor,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Podgorica,Montenegro,42.43194722,19.22448083,,,,,Andriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Moraca
22053,Implementation of WFD Montenegro,Real Sample,Zlatica,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Podgorica,Montenegro,42.47700556,19.30486694,,,,,Andriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Moraca
22054,Implementation of WFD Montenegro,Real Sample,Zlatica,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Podgorica,Montenegro,42.47700556,19.30486694,,,,,Andriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Moraca
