ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Sample Matrix,Location,Category,Category.1,Category.2,Proxy pressures,Proxy pressures.1,Proxy pressures.2
22496,European Dust,Real Sample,House dust 13 from Birmingham in UK,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Birmingham,UK,52.474032,-1.895795,,Urban,,,,,,
22497,European Dust,Real Sample,House dust 14 from Birmingham in UK,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Birmingham,UK,52.480787,-1.901425,,Urban,,,,,,
22498,European Dust,Real Sample,House dust 15 from Birmingham in UK,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Birmingham,UK,52.481942,-1.892547,,Urban,,,,,,
22499,European Dust,Real Sample,House dust 16 from Paris in France,"Fri, 01/17/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.874252,2.352252,,Urban,,,,,,
22500,European Dust,Real Sample,House dust 17 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,37.9736144,23.77517,,Urban,,,,,,
22501,European Dust,Real Sample,House dust 18 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.83794,2.405638,,Urban,,,,,,
22502,European Dust,Real Sample,House dust 19 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.836674,2.395368,,Urban,,,,,,
22503,European Dust,Real Sample,House dust 20 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.885909,2.350795,,Urban,,,,,,
22504,European Dust,Real Sample,House dust 21 from Brno in Czech Republic,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Brno,Czech Republic,49.200051,16.617741,,Urban,,,,,,
22505,European Dust,Real Sample,House dust 22 from Brno in Czech Republic,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Brno,Czech Republic,49.202862,16.60588,,Urban,,,,,,
22506,European Dust,Real Sample,House dust 23 from Brno in Czech Republic,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Brno,Czech Republic,49.203337,16.594569,,Urban,,,,,,
22507,European Dust,Real Sample,House dust 24 from Adamov in Czech Republic,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Adamov,Czech Republic,49.203242,16.598851,,Urban,,,,,,
22508,European Dust,Real Sample,House dust 25 from Brno in Czech Republic,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Brno,Czech Republic,49.19947,16.615214,,Urban,,,,,,
22509,European Dust,Real Sample,House dust 26 from Athens in Greece,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Athens,Greece,37.977918,23.772358,,Urban,,,,,,
22510,European Dust,Real Sample,House dust 27 from Athens in Greece,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Athens,Greece,37.980323,23.770237,,Urban,,,,,,
22511,European Dust,Real Sample,House dust 28 from Athens in Greece,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Athens,Greece,37.97603,23.76302,,Urban,,,,,,
22512,European Dust,Real Sample,House dust 29 from Kuopio in Finland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Kuopio,Finland,62.896049,27.676975,,Urban,,,,,,
22513,European Dust,Real Sample,House dust 30 from Tuusniemi in Finland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Tuusniemi,Finland,62.810081,28.492213,,Urban,,,,,,
22514,European Dust,Real Sample,House dust 31 from Kuopio in Finland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Kuopio,Finland,62.880584,27.668867,,Urban,,,,,,
22515,European Dust,Real Sample,House dust 32 from Kuopio in Finland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Kuopio,Finland,62.892129,27.658319,,Urban,,,,,,
22516,European Dust,Real Sample,House dust 33 from Kuopio in Finland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Kuopio,Finland,62.894764,27.686654,,Urban,,,,,,
22517,European Dust,Real Sample,House dust 34 from Kuopio in Finland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Kuopio,Finland,62.892105,27.696948,,Urban,,,,,,
22518,European Dust,Real Sample,House dust 35 from Kuopio in Finland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Kuopio,Finland,37.9736144,23.775171,,Urban,,,,,,
22519,European Dust,Real Sample,House dust 36 from Kuopio in Finland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Kuopio,Finland,62.883752,27.652849,,Urban,,,,,,
22520,European Dust,Real Sample,House dust 37 from Budapest in Hungary,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Budapest,Hungary,47.488657,19.246215,,Urban,,,,,,
22521,European Dust,Real Sample,House dust 38 from Budapest in Hungary,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Budapest,Hungary,47.543358,19.134198,,Urban,,,,,,
22522,European Dust,Real Sample,House dust 39 from Prievidza in Slovakia,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Prievidza,Slovakia,48.77076,18.623325,,Urban,,,,,,
22523,European Dust,Real Sample,House dust 40 from Handlova in Slovakia,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Handlova,Slovakia,48.727997,18.759376,,Urban,,,,,,
22524,European Dust,Real Sample,House dust 41 from Handlova in Slovakia,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Handlova,Slovakia,48.730174,18.754119,,Urban,,,,,,
22525,European Dust,Real Sample,House dust 42 from Handlova in Slovakia,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Handlova,Slovakia,48.73532,18.757784,,Urban,,,,,,
22526,European Dust,Real Sample,House dust 43 from Handlova in Slovakia,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Handlova,Slovakia,48.737481,18.75391,,Urban,,,,,,
22527,European Dust,Real Sample,House dust 44 from Cordoba in Spain,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Cordoba,Spain,37.882908,-4.779069,,Urban,,,,,,
22528,European Dust,Real Sample,House dust 45 from Cordoba in Spain,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Cordoba,Spain,37.888674,-4.783199,,Urban,,,,,,
22529,European Dust,Real Sample,House dust 46 from Cordoba in Spain,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Cordoba,Spain,37.907883,-4.793829,,Urban,,,,,,
22530,European Dust,Real Sample,House dust 47 from Porto in Portugal,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Porto,Portugal,41.14402,-8.610447,,Urban,,,,,,
22531,European Dust,Real Sample,House dust 48 from Porto in Portugal,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Porto,Portugal,41.160215,-8.62336,,Urban,,,,,,
22532,European Dust,Real Sample,House dust 49 from Porto in Portugal,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Porto,Portugal,41.148154,-8.661792,,Urban,,,,,,
22533,European Dust,Real Sample,House dust 50 from Porto in Portugal,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Porto,Portugal,41.160866,-8.662689,,Urban,,,,,,
22534,European Dust,Real Sample,House dust 51 from Poznan in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Poznan,Poland,52.403646,16.927075,,Urban,,,,,,
22535,European Dust,Real Sample,House dust 52 from Poznan in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Poznan,Poland,52.40785,16.927649,,Urban,,,,,,
22536,European Dust,Real Sample,House dust 53 from Poznan in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Poznan,Poland,52.40975,16.900458,,Urban,,,,,,
22537,European Dust,Real Sample,House dust 54 from Poznan in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Poznan,Poland,52.435023,16.940358,,Urban,,,,,,
22538,European Dust,Real Sample,House dust 55 from Poznan in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Poznan,Poland,52.443528,16.911899,,Urban,,,,,,
22542,European Dust,Real Sample,House dust 56 from Poznan in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Poznan,Poland,52.400277,16.881492,,Urban,,,,,,
22543,European Dust,Real Sample,House dust 57 from Poznan in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Poznan,Poland,52.397194,16.906155,,Urban,,,,,,
22544,European Dust,Real Sample,House dust 58 from Poznan in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Poznan,Poland,52.401519,16.933338,,Urban,,,,,,
22545,European Dust,Real Sample,House dust 59 from Orebro in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Orebro,Sweden,59.275541,15.216621,,Urban,,,,,,
22546,European Dust,Real Sample,House dust 60 from Orebro in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Orebro,Sweden,59.284111,15.225368,,Urban,,,,,,
22547,European Dust,Real Sample,House dust 61 from Orebro in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Orebro,Sweden,59.262153,15.182164,,Urban,,,,,,
22548,European Dust,Real Sample,House dust 62 from Orebro in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Orebro,Sweden,59.272978,15.235973,,Urban,,,,,,
22549,European Dust,Real Sample,House dust 63 from Orebro in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Orebro,Sweden,59.263044,15.259541,,Urban,,,,,,
22550,European Dust,Real Sample,House dust 64 from Nykvarn in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Nykvarn,Sweden,59.178224,17.428696,,Urban,,,,,,
22551,European Dust,Real Sample,House dust 65 from Stockholm in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Stockholm,Sweden,59.335143,18.067361,,Urban,,,,,,
22552,European Dust,Real Sample,House dust 66 from Stockholm in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Stockholm,Sweden,59.347983,18.04745,,Urban,,,,,,
22553,European Dust,Real Sample,House dust 67 from Limassol in Cyprus,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Limassol,Cyprus,34.6800102,33.04353,,Urban,,,,,,
22554,European Dust,Real Sample,House dust 68 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.82665,2.364296,,Urban,,,,,,
22555,European Dust,Real Sample,House dust 69 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.829094,2.308442,,Urban,,,,,,
22556,European Dust,Real Sample,House dust 70 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.84372,2.260408,,Urban,,,,,,
22557,European Dust,Real Sample,House dust 71 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.895143,2.324036,,Urban,,,,,,
22558,European Dust,Real Sample,House dust 72 from Stockholm in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Stockholm,Sweden,59.335104,18.05692,,Urban,,,,,,
22559,European Dust,Real Sample,House dust 73 from Skelleftea in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Skelleftea,Sweden,64.750843,20.955566,,Urban,,,,,,
22560,European Dust,Real Sample,House dust 74 from Ornskoldsvik in Sweden,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Ornskoldsvik,Sweden,63.290008,18.713766,,Urban,,,,,,
22561,European Dust,Blank Sample,Blank 01 for EU Dust samples,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Umea,Sweden,63.825311,20.260289,,Urban,,,,,,
22562,European Dust,Blank Sample,Blank 02 for EU Dust samples,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Umea,Sweden,63.825311,20.260289,,Urban,,,,,,
22563,European Dust,Blank Sample,Blank 03 for EU Dust samples,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 12:00",10,Umea,Sweden,63.825311,20.260289,,Urban,,,,,,
22564,European Dust,Blank Sample,Blank 04 for EU Dust samples,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Umea,Sweden,63.825311,20.260289,,Urban,,,,,,
22565,European Dust,Real Sample,House dust 01 from Oslo in Norway Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Oslo,Norway,59.909416,10.8016,,Urban,,,,,,
22566,European Dust,Real Sample,House dust 02 from Oslo in Norway Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Oslo,Norway,59.907406,10.77537,,Urban,,,,,,
22567,European Dust,Real Sample,House dust 03 from Oslo in Norway Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Oslo,Norway,59.916236,10.709084,,Urban,,,,,,
22568,European Dust,Real Sample,House dust 04 from Oslo in Norway Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Oslo,Norway,59.947472,10.6901,,Urban,,,,,,
22569,European Dust,Real Sample,House dust 05 from Kjeller in Norway Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Kjeller,Norway,59.940194,10.799848,,Urban,,,,,,
22570,European Dust,Real Sample,House dust 06 from Oslo in Norway Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Oslo,Norway,59.941387,10.82684,,Urban,,,,,,
22571,European Dust,Real Sample,House dust 07 from Oslo in Norway Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Oslo,Norway,59.949858,10.888622,,Urban,,,,,,
22572,European Dust,Real Sample,House dust 08 from Gdansk in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Gdansk,Poland,54.40245001,18.600304,,Urban,,,,,,
22573,European Dust,Real Sample,House dust 09 from Gdansk in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Gdansk,Poland,54.348397,18.649304,,Urban,,,,,,
22575,European Dust,Real Sample,House dust 10 from Rumia in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Rumia,Poland,54.349915,18.661075,,Urban,,,,,,
22576,European Dust,Real Sample,House dust 11 from Gdansk in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Gdansk,Poland,54.34053,18.65492,,Urban,,,,,,
22577,European Dust,Real Sample,House dust 12 from Gdansk in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Gdansk,Poland,54.3559,18.655562,,Urban,,,,,,
22578,European Dust,Real Sample,House dust 13 from Birmingham in UK Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Birmingham,UK,52.474032,-1.895795,,Urban,,,,,,
22579,European Dust,Real Sample,House dust 14 from Birmingham in UK Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Birmingham,UK,52.480787,-1.901425,,Urban,,,,,,
22580,European Dust,Real Sample,House dust 15 from Birmingham in UK Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Birmingham,UK,52.481942,-1.892547,,Urban,,,,,,
22581,European Dust,Real Sample,House dust 16 from Paris in France Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Paris,France,48.874252,2.352252,,Urban,,,,,,
22582,European Dust,Real Sample,House dust 17 from Paris in France Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Paris,France,48.833844,2.29865905,,Urban,,,,,,
22583,European Dust,Real Sample,House dust 18 from Paris in France Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Paris,France,48.8379481,2.405638,,Urban,,,,,,
22584,European Dust,Real Sample,House dust 19 from Paris in France Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Paris,France,48.836674,2.395368,,Urban,,,,,,
22585,European Dust,Real Sample,House dust 20 from Paris in France Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Paris,France,48.885909,2.350795,,Urban,,,,,,
22586,European Dust,Real Sample,House dust 21 from Brno in Czech Republic Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Brno,Czech Republic,49.200051,16.617741,,Urban,,,,,,
22587,European Dust,Real Sample,House dust 22 from Brno in Czech Republic Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Brno,Czech Republic,49.202862,16.60588,,Urban,,,,,,
22588,European Dust,Real Sample,House dust 23 from Brno in Czech Republic Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Brno,Czech Republic,49.203337,16.594569,,Urban,,,,,,
22589,European Dust,Real Sample,House dust 24 from Adamov in Czech Republic Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Adamov,Czech Republic,49.203242,16.598851,,Urban,,,,,,
22590,European Dust,Real Sample,House dust 25 from Brno in Czech Republic Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Brno,Czech Republic,49.19947,16.615214,,Urban,,,,,,
22591,European Dust,Real Sample,House dust 26 from Athens in Greece Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Athens,Greece,37.977918,23.772358,,Urban,,,,,,
22592,European Dust,Real Sample,House dust 27 from Athens in Greece Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Athens,Greece,37.980323,23.770237,,Urban,,,,,,
22593,European Dust,Real Sample,House dust 28 from Athens in Greece Negative ESI,"Fri, 01/10/2020 - 12:00","Thu, 10/27/2022 - 00:00",11,Athens,Greece,37.976038,23.76302901,,Urban,,,,,,
22594,European Dust,Real Sample,House dust 29 from Kuopio in Finland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Kuopio,Finland,62.896049,27.676975,,Urban,,,,,,
22595,European Dust,Real Sample,House dust 30 from Tuusniemi in Finland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Tuusniemi,Finland,62.810081,28.492213,,Urban,,,,,,
22596,European Dust,Real Sample,House dust 31 from Kuopio in Finland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Kuopio,Finland,62.880584,27.668867,,Urban,,,,,,
22597,European Dust,Real Sample,House dust 32 from Kuopio in Finland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Kuopio,Finland,62.892129,27.658319,,Urban,,,,,,
22598,European Dust,Real Sample,House dust 33 from Kuopio in Finland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Kuopio,Finland,62.894764,27.686654,,Urban,,,,,,
22599,European Dust,Real Sample,House dust 34 from Kuopio in Finland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Kuopio,Finland,62.892105,27.696948,,Urban,,,,,,
22600,European Dust,Real Sample,House dust 35 from Kuopio in Finland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Kuopio,Finland,62.880201,27.678744,,Urban,,,,,,
22601,European Dust,Real Sample,House dust 36 from Kuopio in Finland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Kuopio,Finland,62.883752,27.652849,,Urban,,,,,,
22602,European Dust,Real Sample,House dust 37 from Budapest in Hungary Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Budapest,Hungary,47.488657,19.246215,,Urban,,,,,,
22603,European Dust,Real Sample,House dust 38 from Budapest in Hungary Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Budapest,Hungary,47.543358,19.134198,,Urban,,,,,,
22604,European Dust,Real Sample,House dust 39 from Prievidza in Slovakia Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Prievidza,Slovakia,48.77076,18.623325,,Urban,,,,,,
22605,European Dust,Real Sample,House dust 40 from Handlova in Slovakia Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Handlova,Slovakia,48.727997,18.759376,,Urban,,,,,,
22606,European Dust,Real Sample,House dust 41 from Handlova in Slovakia Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Handlova,Slovakia,48.730174,18.754119,,Urban,,,,,,
22607,European Dust,Real Sample,House dust 42 from Handlova in Slovakia Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Handlova,Slovakia,48.73532701,18.757784,,Urban,,,,,,
22608,European Dust,Real Sample,House dust 43 from Handlova in Slovakia Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Handlova,Slovakia,48.737481,18.75391,,Urban,,,,,,
22609,European Dust,Real Sample,House dust 44 from Cordoba in Spain Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Cordoba,Spain,37.882908,-4.779069,,Urban,,,,,,
22610,European Dust,Real Sample,House dust 45 from Cordoba in Spain Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Cordoba,Spain,37.888674,-4.783199,,Urban,,,,,,
22611,European Dust,Real Sample,House dust 46 from Cordoba in Spain Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Cordoba,Spain,37.907883,-4.793829,,Urban,,,,,,
22612,European Dust,Real Sample,House dust 47 from Porto in Portugal Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Porto,Portugal,41.14402,-8.610447,,Urban,,,,,,
22613,European Dust,Real Sample,House dust 48 from Porto in Portugal Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Porto,Portugal,41.160215,-8.62336301,,Urban,,,,,,
22614,European Dust,Real Sample,House dust 49 from Porto in Portugal Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Porto,Portugal,41.148154,-8.661792,,Urban,,,,,,
22615,European Dust,Real Sample,House dust 50 from Porto in Portugal Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Porto,Portugal,41.160866,-8.662689,,Urban,,,,,,
22616,European Dust,Real Sample,House dust 51 from Poznan in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Poznan,Poland,52.403646,16.927075,,Urban,,,,,,
22617,European Dust,Real Sample,House dust 52 from Poznan in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Poznan,Poland,52.40785,16.927649,,Urban,,,,,,
22618,European Dust,Real Sample,House dust 53 from Poznan in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Poznan,Poland,52.40975,16.900458,,Urban,,,,,,
22619,European Dust,Real Sample,House dust 54 from Poznan in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Poznan,Poland,52.435023,16.940358,,Urban,,,,,,
22620,European Dust,Real Sample,House dust 55 from Poznan in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Poznan,Poland,52.443528,16.911899,,Urban,,,,,,
22621,European Dust,Real Sample,House dust 56 from Poznan in Poland Negative ESI,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",11,Poznan,Poland,52.400277,16.881492,,Urban,,,,,,
