ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,matrix,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,Type of sampling depth,Depth (m),Sludge total organic carbon (% of total dry weight),Groundwater fraction,pH,Temperature (°C),Dissolved organic carbon (mg/L),Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),"Name of river, estuary, lake, reservoir or sea"
21627,Siverskyi Donets Monitoring,Real Sample,Sed Kleban Byk reservoir,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Kostyantynivka,Ukraine,48.441426,37.754362,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21628,Siverskyi Donets Monitoring,Real Sample,Sed Kleban Byk reservoir,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Kostyantynivka,Ukraine,48.441426,37.754362,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21629,Siverskyi Donets Monitoring,Real Sample,Sed Lysychansk (428 km),"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Lysychans'k,Ukraine,48.91665,38.453586,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21630,Siverskyi Donets Monitoring,Real Sample,Sed Lysychansk (428 km),"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Lysychans'k,Ukraine,48.91665,38.453586,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21631,Siverskyi Donets Monitoring,Real Sample,Sed Bakhmutka river,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Kostyantynivka,Ukraine,48.559532,38.023995,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21632,Siverskyi Donets Monitoring,Real Sample,Sed Bakhmutka river,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Kostyantynivka,Ukraine,48.559532,38.023995,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21633,Siverskyi Donets Monitoring,Real Sample,Sed Kryvyi Torets river at Karlivska dam,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Druzhkivka,Ukraine,48.602686,37.561002,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21634,Siverskyi Donets Monitoring,Real Sample,Sed Kryvyi Torets river at Karlivska dam,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Druzhkivka,Ukraine,48.602686,37.561002,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21635,Siverskyi Donets Monitoring,Real Sample,Sed Kazannyi Torets river at Raygorodok village,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Slov'yanoserbs'k,Ukraine,48.917078,37.733307,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21636,Siverskyi Donets Monitoring,Real Sample,Sed Kazannyi Torets river at Raygorodok village,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Slov'yanoserbs'k,Ukraine,48.917078,37.733307,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21637,Siverskyi Donets Monitoring,Real Sample,Sed Oskil river at Chervonyi Oskil village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",11,Kharkiv,Ukraine,49.170724,37.437593,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21638,Siverskyi Donets Monitoring,Real Sample,Sed Oskil river at Chervonyi Oskil village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",10,Kharkiv,Ukraine,49.170724,37.437593,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21639,Siverskyi Donets Monitoring,Real Sample,Sed Udy river at Eskhar village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",11,Eskhar,Ukraine,49.788775,36.594185,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21640,Siverskyi Donets Monitoring,Real Sample,Sed Udy river at Eskhar village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",10,Eskhar,Ukraine,49.788775,36.594185,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21641,Siverskyi Donets Monitoring,Real Sample,Sed Ohurtsovo village (944 km),"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",11,Rubizhne,Ukraine,50.176532,36.844251,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21642,Siverskyi Donets Monitoring,Real Sample,Sed Ohurtsovo village (944 km),"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",10,Rubizhne,Ukraine,50.176532,36.844251,,,,,,,,,,Donets River Basin,,,,,,,sediment,Donets River Basin,(Whole) Fraction < 2mm,,,Spot sampling,5.0,,,,,,,,,,
21645,Siverskyi Donets Monitoring,Real Sample,GW at Gruzke,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Vesele,,48.53333333,37.26666667,,,,,,,,,,Donets River Basin,,,,,,,groundwater,,,,,Spot sampling,20.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,
21646,Siverskyi Donets Monitoring,Real Sample,GW at Gruzke,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Vesele,,48.53333333,37.26666667,,,,,,,,,,Donets River Basin,,,,,,,groundwater,,,,,Spot sampling,20.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,
21647,Siverskyi Donets Monitoring,Real Sample,GW at Kreminna,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Myronivs'kyy,,48.49111111,38.29444444,,,,,,,,,,Donets River Basin,,,,,,,groundwater,,,,,Spot sampling,20.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,
21648,Siverskyi Donets Monitoring,Real Sample,GW at Kreminna,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Myronivs'kyy,,48.49111111,38.29444444,,,,,,,,,,Donets River Basin,,,,,,,groundwater,,,,,Spot sampling,20.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,
21649,Siverskyi Donets Monitoring,Real Sample,GW at Stara Krasnianka,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Rubizhne,,49.03638889,38.32444444,,,,,,,,,,Donets River Basin,,,,,,,groundwater,,,,,Spot sampling,20.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,
21650,Siverskyi Donets Monitoring,Real Sample,GW at Stara Krasnianka,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Rubizhne,,49.03638889,38.32444444,,,,,,,,,,Donets River Basin,,,,,,,groundwater,,,,,Spot sampling,20.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,
21651,Siverskyi Donets Monitoring,Real Sample,GW at Popasnianskyi region,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Lysychans'k,,48.9,38.51666667,,,,,,,,,,Donets River Basin,,,,,,,groundwater,,,,,Spot sampling,20.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,
21652,Siverskyi Donets Monitoring,Real Sample,GW at Popasnianskyi region,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Lysychans'k,,48.9,38.51666667,,,,,,,,,,Donets River Basin,,,,,,,groundwater,,,,,Spot sampling,20.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,
21653,Siverskyi Donets Monitoring,Real Sample,Station Lysychansk (428 km),"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Lysychans'k,Ukraine,48.91665,38.453586,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21654,Siverskyi Donets Monitoring,Real Sample,Station Lysychansk (428 km),"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Lysychans'k,Ukraine,48.91665,38.453586,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21655,Siverskyi Donets Monitoring,Real Sample,Bakhmutka river,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Kostyantynivka,Ukraine,48.559532,38.023995,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21656,Siverskyi Donets Monitoring,Real Sample,Bakhmutka river,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Kostyantynivka,Ukraine,48.559532,38.023995,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21657,Siverskyi Donets Monitoring,Real Sample,Kryvyi Torets river at Karlivska dam,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Druzhkivka,Ukraine,48.602686,37.561002,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21658,Siverskyi Donets Monitoring,Real Sample,Kryvyi Torets river at Karlivska dam,"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Druzhkivka,Ukraine,48.602686,37.561002,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21659,Siverskyi Donets Monitoring,Real Sample,Kazannyi Torets river at Raygorodok village,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",11,Slov'yanoserbs'k,Ukraine,48.917078,37.733307,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21660,Siverskyi Donets Monitoring,Real Sample,Kazannyi Torets river at Raygorodok village,"Tue, 09/25/2018 - 22:00","Tue, 08/21/2018 - 22:00",10,Slov'yanoserbs'k,Ukraine,48.917078,37.733307,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21661,Siverskyi Donets Monitoring,Real Sample,Station Raygorodska dam (522 km),"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",11,Borova,Ukraine,49.341563,37.548651,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21662,Siverskyi Donets Monitoring,Real Sample,Station Raygorodska dam (522 km),"Mon, 09/24/2018 - 22:00","Mon, 08/20/2018 - 22:00",10,Borova,Ukraine,49.341563,37.548651,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21663,Siverskyi Donets Monitoring,Real Sample,Oskil river at Chervonyi Oskil village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",11,Kharkiv,Ukraine,49.170724,37.437593,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21664,Siverskyi Donets Monitoring,Real Sample,Oskil river at Chervonyi Oskil village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",10,Kharkiv,Ukraine,49.170724,37.437593,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21665,Siverskyi Donets Monitoring,Real Sample,Udy river at Eskhar village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",11,Eskhar,Ukraine,49.788775,36.594185,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21666,Siverskyi Donets Monitoring,Real Sample,Udy river at Eskhar village,"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",10,Eskhar,Ukraine,49.788775,36.594185,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21667,Siverskyi Donets Monitoring,Real Sample,Station Ohurtsovo village (944 km),"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",11,Rubizhne,Ukraine,50.176532,36.844251,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
21668,Siverskyi Donets Monitoring,Real Sample,Station Ohurtsovo village (944 km),"Wed, 09/26/2018 - 22:00","Wed, 08/22/2018 - 22:00",10,Rubizhne,Ukraine,50.176532,36.844251,,,,,,,,,,Donets River Basin,,,,,,,surface-water,,,,,,0.2,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,Donets River Basin
