ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix,Capacity population equivalent,Daily flow m^3/day,MES Dry matter content (mg/L),River basin,Sludge retention time (days),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1,Groundwater fraction
22982,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Rhine monitoring station Worms neg-1,"Mon, 09/11/2023 - 13:00","Tue, 10/10/2023 - 16:00",22924,,,49.630154,8.378443,River water,,,,,,,,Rhine,,,,,surface-water,,,,,,,,,,,,,,
22983,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Rhine monitoring station Worms neg-2,"Mon, 09/11/2023 - 13:00","Tue, 10/10/2023 - 16:30",22924,,,49.630154,8.378443,River water,,,,,,,,Rhine,,,,,surface-water,,,,,,,,,,,,,,
22984,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Rhine monitoring station Worms neg-3,"Mon, 09/11/2023 - 13:00","Tue, 10/10/2023 - 17:00",22924,,,49.630154,8.378443,River water,,,,,,,,Rhine,,,,,surface-water,,,,,,,,,,,,,,
22954,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 1 pos-2,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 20:30",22923,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22956,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 1 pos-1,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 20:00",22923,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22957,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 1 pos-3,"Tue, 08/08/2023 - 13:00","Thu, 10/05/2023 - 21:00",22923,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22958,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 2 pos-1,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 19:30",22923,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22959,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 2 pos-2,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 20:00",22923,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22960,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 2 pos-3,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 20:30",22923,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22961,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 1 neg-1,"Tue, 08/08/2023 - 13:00","Mon, 10/09/2023 - 22:30",22924,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22962,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 1 neg-2,"Tue, 08/08/2023 - 13:00","Mon, 10/09/2023 - 23:00",22924,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22963,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 1 neg-3,"Tue, 08/08/2023 - 13:00","Mon, 10/09/2023 - 23:30",22924,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22964,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 2 neg-1,"Mon, 09/11/2023 - 13:00","Tue, 10/10/2023 - 22:30",22924,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22965,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 2 neg-2,"Mon, 09/11/2023 - 13:00","Tue, 10/10/2023 - 23:00",22924,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22966,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Grünstadt WWTP sampling 2 neg-3,"Mon, 09/11/2023 - 13:00","Fri, 10/13/2023 - 15:30",22924,,,49.566729,8.177955,,,,,,,,,,,,,,wastewater,,,,,,,,,,Effluent wastewater,,,49.566729,
22967,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 pos-1,"Tue, 08/08/2023 - 13:00","Fri, 10/06/2023 - 00:00",22923,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22968,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 pos-2,"Tue, 08/08/2023 - 13:00","Fri, 10/06/2023 - 00:30",22923,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22969,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 pos-3,"Tue, 08/08/2023 - 13:00","Fri, 10/06/2023 - 01:00",22923,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22970,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 pos-1,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 15:00",22923,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22971,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 pos-2,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 15:30",22923,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22972,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 pos-3,"Mon, 09/11/2023 - 13:00","Fri, 10/06/2023 - 16:00",22923,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22973,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 neg-1,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 03:00",22924,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22974,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 neg-2,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 03:30",22924,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22975,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 1 neg-3,"Tue, 08/08/2023 - 13:00","Tue, 10/10/2023 - 04:00",22924,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22976,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 neg-1,"Mon, 09/11/2023 - 13:00","Tue, 10/10/2023 - 18:00",22924,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22977,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 neg-2,"Mon, 09/11/2023 - 13:00","Tue, 10/10/2023 - 18:30",22924,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22978,ERMES-ii-Rh(e)in 2022-2025,Real Sample,Dirmstein sampling 2 neg-3,"Mon, 09/11/2023 - 13:00","Fri, 10/13/2023 - 15:00",22924,,,49.57431,8.25272,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22985,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim pos-1,"Mon, 09/11/2023 - 13:00","Wed, 10/25/2023 - 20:30",22923,,,49.576097,8.420174,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22986,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim pos-2,"Mon, 09/11/2023 - 13:00","Wed, 10/25/2023 - 21:00",22923,,,49.576097,8.420174,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22987,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim pos-3,"Mon, 09/11/2023 - 13:00","Wed, 10/25/2023 - 21:30",22923,,,49.576097,8.420174,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22988,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim neg-1,"Mon, 09/11/2023 - 13:00","Thu, 10/26/2023 - 22:30",22924,,,49.576097,8.420174,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22989,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim neg-2,"Mon, 09/11/2023 - 13:00","Thu, 10/26/2023 - 23:00",22924,,,49.576097,8.420174,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22990,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim neg-3,"Mon, 09/11/2023 - 13:00","Thu, 10/26/2023 - 23:30",22924,,,49.576097,8.420174,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22991,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) pos-1,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 02:00",22923,,,49.567375,8.402444,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22992,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) pos-2,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 02:30",22923,,,49.567375,8.402444,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22993,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) pos-3,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 03:00",22923,,,49.567375,8.402444,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22994,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) neg-1,"Mon, 09/11/2023 - 13:00","Wed, 10/11/2023 - 05:00",22924,,,49.567375,8.402444,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22995,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) neg-2,"Mon, 09/11/2023 - 13:00","Wed, 10/11/2023 - 05:30",22924,,,49.567375,8.402444,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22996,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) neg-3,"Mon, 09/11/2023 - 13:00","Fri, 10/13/2023 - 16:00",22924,,,49.567375,8.402444,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22997,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. pos-1,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 04:00",22923,,,49.559922,8.387193,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22998,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. pos-2,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 04:30",22923,,,49.559922,8.387193,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
22999,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. pos-3,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 05:00",22923,,,49.559922,8.387193,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23000,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. neg-1,"Mon, 09/11/2023 - 13:00","Wed, 10/11/2023 - 07:00",22924,,,49.559922,8.387193,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23001,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. neg-2,"Mon, 09/11/2023 - 13:00","Wed, 10/11/2023 - 07:30",22924,,,49.559922,8.387193,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23002,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. neg-3,"Mon, 09/11/2023 - 13:00","Fri, 10/13/2023 - 16:30",22924,,,49.559922,8.387193,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23003,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel pos-1,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 06:30",22923,,,49.103646,8.216628,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23004,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel pos-2,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 07:00",22923,,,49.103646,8.216628,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23005,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel pos-3,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 07:30",22923,,,49.103646,8.216628,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23006,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel neg-1,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 09:30",22924,,,49.103646,8.216628,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23007,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel neg-2,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 10:00",22924,,,49.103646,8.216628,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23008,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel neg-3,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 10:30",22924,,,49.103646,8.216628,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23009,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim pos-1,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 08:30",22923,,,49.085941,8.302279,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23010,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim pos-2,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 09:00",22923,,,49.085941,8.302279,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23011,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim pos-3,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 09:30",22923,,,49.085941,8.302279,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23012,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim neg-1,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 11:30",22924,,,49.085941,8.302279,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23013,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim neg-2,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 12:00",22924,,,49.085941,8.302279,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23014,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim neg-3,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 12:30",22924,,,49.085941,8.302279,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23015,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim pos-1,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 02:30",22923,,,49.985772,8.049153,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23016,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim pos-2,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 03:00",22923,,,49.985772,8.049153,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23017,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim pos-3,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 03:30",22923,,,49.985772,8.049153,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23018,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim neg-1,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 05:00",22924,,,49.985772,8.049153,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23019,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim neg-2,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 05:30",22924,,,49.985772,8.049153,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23020,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim neg-3,"Mon, 08/14/2023 - 13:00","Fri, 10/13/2023 - 13:30",22924,,,49.985772,8.049153,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23021,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim pos-1,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 04:30",22923,,,49.995227,8.088641,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23022,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim pos-2,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 05:00",22923,,,49.995227,8.088641,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23023,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim pos-3,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 05:30",22923,,,49.995227,8.088641,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23024,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim neg-1,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 07:00",22924,,,49.995227,8.088641,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23025,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim neg-2,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 07:30",22924,,,49.995227,8.088641,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
23026,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim neg-3,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 08:00",22924,,,49.995227,8.088641,,,,,,,,,,,,,,groundwater,,,,,,,,,,,,,,
