ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L)
22989,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim neg-2,"Mon, 09/11/2023 - 13:00","Thu, 10/26/2023 - 23:00",22924,,,49.576097,8.420174,,,,,,,,
22990,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1368 Bobenheim-Roxheim neg-3,"Mon, 09/11/2023 - 13:00","Thu, 10/26/2023 - 23:30",22924,,,49.576097,8.420174,,,,,,,,
22991,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) pos-1,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 02:00",22923,,,49.567375,8.402444,,,,,,,,
22992,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) pos-2,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 02:30",22923,,,49.567375,8.402444,,,,,,,,
22993,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) pos-3,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 03:00",22923,,,49.567375,8.402444,,,,,,,,
22994,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) neg-1,"Mon, 09/11/2023 - 13:00","Wed, 10/11/2023 - 05:00",22924,,,49.567375,8.402444,,,,,,,,
22995,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) neg-2,"Mon, 09/11/2023 - 13:00","Wed, 10/11/2023 - 05:30",22924,,,49.567375,8.402444,,,,,,,,
22996,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1379 Frankenthal (Pfalz) neg-3,"Mon, 09/11/2023 - 13:00","Fri, 10/13/2023 - 16:00",22924,,,49.567375,8.402444,,,,,,,,
22997,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. pos-1,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 04:00",22923,,,49.559922,8.387193,,,,,,,,
22998,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. pos-2,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 04:30",22923,,,49.559922,8.387193,,,,,,,,
22999,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. pos-3,"Mon, 09/11/2023 - 13:00","Sat, 10/07/2023 - 05:00",22923,,,49.559922,8.387193,,,,,,,,
23000,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. neg-1,"Mon, 09/11/2023 - 13:00","Wed, 10/11/2023 - 07:00",22924,,,49.559922,8.387193,,,,,,,,
23001,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. neg-2,"Mon, 09/11/2023 - 13:00","Wed, 10/11/2023 - 07:30",22924,,,49.559922,8.387193,,,,,,,,
23002,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1419 I Frankenthal/Pf. neg-3,"Mon, 09/11/2023 - 13:00","Fri, 10/13/2023 - 16:30",22924,,,49.559922,8.387193,,,,,,,,
23003,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel pos-1,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 06:30",22923,,,49.103646,8.216628,,,,,,,,
23004,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel pos-2,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 07:00",22923,,,49.103646,8.216628,,,,,,,,
23005,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel pos-3,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 07:30",22923,,,49.103646,8.216628,,,,,,,,
23006,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel neg-1,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 09:30",22924,,,49.103646,8.216628,,,,,,,,
23007,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel neg-2,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 10:00",22924,,,49.103646,8.216628,,,,,,,,
23008,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1440 Kandel neg-3,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 10:30",22924,,,49.103646,8.216628,,,,,,,,
23009,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim pos-1,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 08:30",22923,,,49.085941,8.302279,,,,,,,,
23010,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim pos-2,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 09:00",22923,,,49.085941,8.302279,,,,,,,,
23011,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim pos-3,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 09:30",22923,,,49.085941,8.302279,,,,,,,,
23012,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim neg-1,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 11:30",22924,,,49.085941,8.302279,,,,,,,,
23013,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim neg-2,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 12:00",22924,,,49.085941,8.302279,,,,,,,,
23014,ERMES-ii-Rh(e)in 2022-2025,Real Sample,1148 I Jockgrim neg-3,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 12:30",22924,,,49.085941,8.302279,,,,,,,,
23015,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim pos-1,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 02:30",22923,,,49.985772,8.049153,,,,,,,,
23016,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim pos-2,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 03:00",22923,,,49.985772,8.049153,,,,,,,,
23017,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim pos-3,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 03:30",22923,,,49.985772,8.049153,,,,,,,,
23018,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim neg-1,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 05:00",22924,,,49.985772,8.049153,,,,,,,,
23019,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim neg-2,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 05:30",22924,,,49.985772,8.049153,,,,,,,,
23020,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2088 Ingelheim neg-3,"Mon, 08/14/2023 - 13:00","Fri, 10/13/2023 - 13:30",22924,,,49.985772,8.049153,,,,,,,,
23021,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim pos-1,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 04:30",22923,,,49.995227,8.088641,,,,,,,,
23022,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim pos-2,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 05:00",22923,,,49.995227,8.088641,,,,,,,,
23023,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim pos-3,"Mon, 08/14/2023 - 13:00","Fri, 10/06/2023 - 05:30",22923,,,49.995227,8.088641,,,,,,,,
23024,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim neg-1,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 07:00",22924,,,49.995227,8.088641,,,,,,,,
23025,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim neg-2,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 07:30",22924,,,49.995227,8.088641,,,,,,,,
23026,ERMES-ii-Rh(e)in 2022-2025,Real Sample,2054 A Ingelheim neg-3,"Mon, 08/14/2023 - 13:00","Tue, 10/10/2023 - 08:00",22924,,,49.995227,8.088641,,,,,,,,
