ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix,Alive or not,Basis of measurement,Biota species name (in Latin),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
23271,CONNECT I+II LC,Real Sample,CONnECTII 08 Sediment from W01 in Belgium,"Tue, 05/23/2023 - 00:00","Fri, 10/20/2023 - 00:00",10,Zeebrugge,,51.375,3.18917,,(Whole) Fraction < 2mm,,Sediment-River water,,,Surface sampling,,,,sediment,,,,,,,,,,,,,
23273,CONNECT I+II LC,Real Sample,CONnECTII 11 Sediment from Kilkieran in Ireland,"Tue, 06/11/2019 - 00:00","Fri, 10/20/2023 - 00:00",10,Kilkieran,,53.325049,-9.733034,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23275,CONNECT I+II LC,Real Sample,CONnECTII 12 Sediment from Limerick Dock in Ireland,"Thu, 10/24/2019 - 00:00","Fri, 10/20/2023 - 00:00",10,Limerick,,52.660734,-8.640242,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23276,CONNECT I+II LC,Real Sample,CONnECTII 13 Sediment from Vigo Estuary in Spain,"Fri, 04/01/2022 - 00:00","Fri, 10/20/2023 - 00:00",10,Vigo,,42.25416667,-8.74388889,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23277,CONNECT I+II LC,Real Sample,CONnECTII 14 Sediment from Gulf of Cadiz in Spain,"Tue, 10/01/2019 - 00:00","Fri, 10/20/2023 - 00:00",10,Huelva,,37.15,-6.85444444,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23278,CONNECT I+II LC,Blank Sample,Blank sediment for CONnECTII,"Tue, 05/23/2023 - 12:00","Fri, 10/20/2023 - 00:00",11,De Haan,,51.3,3.21,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23280,CONNECT I+II LC,Real Sample,CONnECTII 01 Sediment from Firth of Forth in Scotland,"Thu, 12/01/2022 - 00:00","Fri, 10/20/2023 - 00:00",11,Edinburgh,,56.0115,-3.50433333,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23287,CONNECT I+II LC,Real Sample,CONnECTII 08 Sediment from W01 in Belgium,"Tue, 05/23/2023 - 12:00","Fri, 10/20/2023 - 12:00",11,Zeebrugge,,51.375,3.18917,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23289,CONNECT I+II LC,Real Sample,CONnECTII 11 Sediment from Kilkieran in Ireland,"Wed, 11/06/2019 - 12:00","Fri, 10/20/2023 - 12:00",11,Kilkieran,,53.325049,-9.733034,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23291,CONNECT I+II LC,Real Sample,CONnECTII 12 Sediment from Limerick Dock in Ireland,"Thu, 10/24/2019 - 12:00","Fri, 10/20/2023 - 12:00",11,Limerick,,52.660734,-8.640242,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23292,CONNECT I+II LC,Real Sample,CONnECTII 13 Sediment from Vigo Estuary in Spain,"Fri, 04/01/2022 - 12:00","Fri, 10/20/2023 - 12:00",11,Vigo,,42.25416667,-8.74388889,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23293,CONNECT I+II LC,Real Sample,CONnECTII 14 Sediment from Gulf of Cadiz in Spain,"Tue, 10/01/2019 - 12:00","Fri, 10/20/2023 - 12:00",11,Huelva,,37.15,-6.85444444,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
19220,CONNECT I+II LC,Real Sample,CONNECT 35 Mytilus edulis from Villerville,"Sat, 04/03/2021 - 22:00","Sat, 02/27/2021 - 22:00",LC-Bruker maXis QTOF: Submission #11,Villerville,France,49.416802,0.103191,,,,,English Channel,,,,,,biota,1,Wet weight,Mytilus edulis,,English Channel,,Coastal region,,Molluscs (22488),Muscle,78.6,,France
19221,CONNECT I+II LC,Real Sample,CONNECT 35 Mytilus edulis from Villerville,"Sat, 04/03/2021 - 22:00","Sat, 02/27/2021 - 22:00",LC-Bruker maXis QTOF: Submission #10,Villerville,France,49.416802,0.103191,,,,,English Channel,,,,,,biota,1,Wet weight,Mytilus edulis,,English Channel,,Coastal region,,Molluscs (22488),Muscle,78.6,,France
19222,CONNECT I+II LC,Real Sample,CONNECT 36 Mytilus edulis from Chausey,"Sun, 02/28/2021 - 22:00","Sun, 01/24/2021 - 22:00",LC-Bruker maXis QTOF: Submission #11,Chausey,France,48.890261,-1.843798,,,,,English Channel,,,,,,biota,1,Wet weight,Mytilus edulis,,English Channel,,Coastal region,,Molluscs (22488),Muscle,82.3,,France
19223,CONNECT I+II LC,Real Sample,CONNECT 36 Mytilus edulis from Chausey,"Sun, 02/28/2021 - 22:00","Sun, 01/24/2021 - 22:00",LC-Bruker maXis QTOF: Submission #10,Chausey,France,48.890261,-1.843798,,,,,English Channel,,,,,,biota,1,Wet weight,Mytilus edulis,,English Channel,,Coastal region,,Molluscs (22488),Muscle,82.3,,France
19224,CONNECT I+II LC,Real Sample,CONNECT 37 Mytilus Galloprovincialis from Carteau,"Mon, 03/01/2021 - 22:00","Mon, 01/25/2021 - 22:00",LC-Bruker maXis QTOF: Submission #11,Carteau,France,43.324639,4.811751,,,,,Mediterranean sea,,,,,,biota,1,Wet weight,Mytilus Galloprovincialis,,Mediterranean sea,,Coastal region,,Molluscs (22488),Muscle,84.2,,France
19225,CONNECT I+II LC,Real Sample,CONNECT 37 Mytilus Galloprovincialis from Carteau,"Mon, 03/01/2021 - 22:00","Mon, 01/25/2021 - 22:00",LC-Bruker maXis QTOF: Submission #10,Carteau,France,43.324639,4.811751,,,,,Mediterranean sea,,,,,,biota,1,Wet weight,Mytilus Galloprovincialis,,Mediterranean sea,,Coastal region,,Molluscs (22488),Muscle,84.2,,France
19226,CONNECT I+II LC,Real Sample,CONNECT 38 Platichthys flesus from the Netherlands,"Wed, 08/12/2020 - 22:00","Wed, 07/08/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.799948,4.573844,,,,,North Sea,,,,,,biota,1,Wet weight,Platichthys flesus,,North Sea,,Coastal region,,Molluscs (22488),Muscle,78.0,,Netherlands
19227,CONNECT I+II LC,Real Sample,CONNECT 38 Platichthys flesus from the Netherlands,"Wed, 08/12/2020 - 22:00","Wed, 07/08/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.799948,4.573844,,,,,North Sea,,,,,,biota,1,Wet weight,Platichthys flesus,,North Sea,,Coastal region,,Molluscs (22488),Muscle,78.0,,Netherlands
19228,CONNECT I+II LC,Real Sample,CONNECT 39 Platichthys flesus from the Netherlands,"Mon, 08/10/2020 - 22:00","Mon, 07/06/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.735691,4.570985,,,,,North Sea,,,,,,biota,1,Wet weight,Platichthys flesus,,North Sea,,Coastal region,,Molluscs (22488),Muscle,78.0,,Netherlands
19229,CONNECT I+II LC,Real Sample,CONNECT 39 Platichthys flesus from the Netherlands,"Mon, 08/10/2020 - 22:00","Mon, 07/06/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.735691,4.570985,,,,,North Sea,,,,,,biota,1,Wet weight,Platichthys flesus,,North Sea,,Coastal region,,Molluscs (22488),Muscle,78.0,,Netherlands
19230,CONNECT I+II LC,Real Sample,CONNECT 40 Platichthys flesus from the Netherlands,"Tue, 08/25/2020 - 22:00","Tue, 07/21/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.666887,4.56763,,,,,North Sea,,,,,,biota,1,Wet weight,Platichthys flesus,,North Sea,,Coastal region,,Molluscs (22488),Muscle,79.0,,Netherlands
19231,CONNECT I+II LC,Real Sample,CONNECT 40 Platichthys flesus from the Netherlands,"Tue, 08/25/2020 - 22:00","Tue, 07/21/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.666887,4.56763,,,,,North Sea,,,,,,biota,1,Wet weight,Platichthys flesus,,North Sea,,Coastal region,,Molluscs (22488),Muscle,79.0,,Netherlands
19232,CONNECT I+II LC,Real Sample,CONNECT 41 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.606892,4.56725,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,90.0,,Netherlands
19233,CONNECT I+II LC,Real Sample,CONNECT 41 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.606892,4.56725,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,90.0,,Netherlands
19234,CONNECT I+II LC,Real Sample,CONNECT 42 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.555727,4.561124,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,90.0,,Netherlands
19235,CONNECT I+II LC,Real Sample,CONNECT 42 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.555727,4.561124,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,90.0,,Netherlands
19236,CONNECT I+II LC,Real Sample,CONNECT 43 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.448188,4.532678,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,90.0,,Netherlands
19237,CONNECT I+II LC,Real Sample,CONNECT 43 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.448188,4.532678,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,90.0,,Netherlands
19238,CONNECT I+II LC,Real Sample,CONNECT 44 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.418467,4.448686,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,91.0,,Netherlands
19239,CONNECT I+II LC,Real Sample,CONNECT 44 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.418467,4.448686,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,91.0,,Netherlands
19240,CONNECT I+II LC,Real Sample,CONNECT 45 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.558967,4.468311,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,91.0,,Netherlands
19241,CONNECT I+II LC,Real Sample,CONNECT 45 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.558967,4.468311,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,91.0,,Netherlands
19242,CONNECT I+II LC,Real Sample,CONNECT 46 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.431252,4.384624,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,91.0,,Netherlands
19243,CONNECT I+II LC,Real Sample,CONNECT 46 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.431252,4.384624,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,91.0,,Netherlands
19799,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 31-32,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Praia de Samil,Spain,42.0949085,-8.8316915,,,,,Rio Lagares River,,,,,,biota,1,Wet weight,Mytilus edulis,,Rio Lagares River basin,,Coastal region,,Molluscs (22488),Muscle,,,Spain
19800,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 31-32,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Praia de Samil,Spain,42.0949085,-8.8316915,,,,,Rio Lagares River,,,,,,biota,1,Wet weight,Mytilus edulis,,Rio Lagares River basin,,Coastal region,,Molluscs (22488),Muscle,,,Spain
19801,CONNECT I+II LC,Real Sample,CONNECT 32 Mytilus edulis from Praia de Samil,"Tue, 02/11/2020 - 22:00","Tue, 01/07/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Praia de Samil,Spain,42.219617,-8.776733,,,,,Rio Lagares River,,,,,,biota,1,Wet weight,Mytilus edulis,,Rio Lagares River basin,,Coastal region,,Molluscs (22488),Muscle,,,Spain
19802,CONNECT I+II LC,Real Sample,CONNECT 32 Mytilus edulis from Praia de Samil,"Tue, 02/11/2020 - 22:00","Tue, 01/07/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Praia de Samil,Spain,42.219617,-8.776733,,,,,Rio Lagares River,,,,,,biota,1,Wet weight,Mytilus edulis,,Rio Lagares River basin,,Coastal region,,Molluscs (22488),Muscle,,,Spain
19803,CONNECT I+II LC,Real Sample,CONNECT 31 Mytilus edulis from Oia,"Tue, 03/10/2020 - 22:00","Tue, 02/04/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Oia,Spain,41.9702,-8.88665,,,,,Rio Lagares River,,,,,,biota,1,Wet weight,Mytilus edulis,,Rio Lagares River basin,,Coastal region,,Molluscs (22488),Muscle,,,Portugal
19804,CONNECT I+II LC,Real Sample,CONNECT 31 Mytilus edulis from Oia,"Tue, 03/10/2020 - 22:00","Tue, 02/04/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Oia,Spain,41.9702,-8.88665,,,,,Rio Lagares River,,,,,,biota,1,Wet weight,Mytilus edulis,,Rio Lagares River basin,,Coastal region,,Molluscs (22488),Muscle,,,Portugal
19805,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 01-30,"Tue, 01/01/2019 - 22:00","Tue, 11/27/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,London,UK,51.5,0.5,,,,,,,,,,,biota,1,Wet weight,,,,,Coastal region,,Other (22510),Muscle,,,Canada
19806,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 01-30,"Tue, 01/01/2019 - 22:00","Tue, 11/27/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,London,UK,51.5,0.5,,,,,,,,,,,biota,1,Wet weight,,,,,Coastal region,,Other (22510),Muscle,,,Canada
19807,CONNECT I+II LC,Real Sample,CONNECT 30 Mytilus edulis from Industrial outlet,"Mon, 10/12/2020 - 22:00","Mon, 09/07/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Industrial outlet,Denmark,55.19735,11.2592,,,,,Baltic Sea,,,,,,biota,1,Wet weight,Mytilus edulis,,Baltic Sea,,Coastal region,,Molluscs (22488),Muscle,,,Denmark
19808,CONNECT I+II LC,Real Sample,CONNECT 30 Mytilus edulis from Industrial outlet,"Mon, 10/12/2020 - 22:00","Mon, 09/07/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Industrial outlet,Denmark,55.19735,11.2592,,,,,Baltic Sea,,,,,,biota,1,Wet weight,Mytilus edulis,,Baltic Sea,,Coastal region,,Molluscs (22488),Muscle,,,Denmark
19809,CONNECT I+II LC,Real Sample,CONNECT 29 Mytilus edulis from Copenhagen Harbour,"Mon, 12/02/2019 - 22:00","Mon, 10/28/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Copenhagen,Denmark,55.66915,12.576317,,,,,North Sea,,,,,,biota,1,Wet weight,Mytilus edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,79.0,,Denmark
19810,CONNECT I+II LC,Real Sample,CONNECT 29 Mytilus edulis from Copenhagen Harbour,"Mon, 12/02/2019 - 22:00","Mon, 10/28/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Copenhagen,Denmark,55.66915,12.576317,,,,,North Sea,,,,,,biota,1,Wet weight,Mytilus edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,79.0,,Denmark
19811,CONNECT I+II LC,Real Sample,CONNECT 28 Mytilus edulis from Great Belt,"Wed, 11/06/2019 - 22:00","Wed, 10/02/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Skaelskor,Denmark,55.25735,11.2,,,,,Baltic Sea,,,,,,biota,1,Wet weight,Mytilus edulis,,Baltic Sea,,Coastal region,,Molluscs (22488),Muscle,85.0,,Denmark
19812,CONNECT I+II LC,Real Sample,CONNECT 28 Mytilus edulis from Great Belt,"Wed, 11/06/2019 - 22:00","Wed, 10/02/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Skaelskor,Denmark,55.25735,11.2,,,,,Baltic Sea,,,,,,biota,1,Wet weight,Mytilus edulis,,Baltic Sea,,Coastal region,,Molluscs (22488),Muscle,85.0,,Denmark
19813,CONNECT I+II LC,Real Sample,CONNECT 27 Mytilus edulis from Fjord,"Sun, 10/06/2019 - 22:00","Sun, 09/01/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Randers,Denmark,56.602683,10.2897,,,,,Randers Fjord,,,,,,biota,1,Wet weight,Mytilus edulis,,Randers Fjord,,Coastal region,,Molluscs (22488),Muscle,83.0,,Denmark
19814,CONNECT I+II LC,Real Sample,CONNECT 27 Mytilus edulis from Fjord,"Sun, 10/06/2019 - 22:00","Sun, 09/01/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Randers,Denmark,56.602683,10.2897,,,,,Randers Fjord,,,,,,biota,1,Wet weight,Mytilus edulis,,Randers Fjord,,Coastal region,,Molluscs (22488),Muscle,83.0,,Denmark
19815,CONNECT I+II LC,Real Sample,CONNECT 26 Mytilus edulis from Marina Aalborg,"Sat, 10/24/2020 - 22:00","Sat, 09/19/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Aalborg,Denmark,57.07,9.956667,,,,,Nibe Bredning,,,,,,biota,1,Wet weight,Mytilus edulis,,Nibe Bredning,,Coastal region,,Molluscs (22488),Muscle,79.0,,Denmark
19816,CONNECT I+II LC,Real Sample,CONNECT 26 Mytilus edulis from Marina Aalborg,"Sat, 10/24/2020 - 22:00","Sat, 09/19/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Aalborg,Denmark,57.07,9.956667,,,,,Nibe Bredning,,,,,,biota,1,Wet weight,Mytilus edulis,,Nibe Bredning,,Coastal region,,Molluscs (22488),Muscle,79.0,,Denmark
19817,CONNECT I+II LC,Real Sample,CONNECT 25 Mytilus edulis from Baltic Sea,"Wed, 11/06/2019 - 22:00","Wed, 10/02/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Ronne,Denmark,55.04695,14.693117,,,,,Baltic Sea,,,,,,biota,1,Wet weight,Mytilus edulis,,Baltic Sea,,Coastal region,,Molluscs (22488),Muscle,78.0,,Denmark
19818,CONNECT I+II LC,Real Sample,CONNECT 25 Mytilus edulis from Baltic Sea,"Wed, 11/06/2019 - 22:00","Wed, 10/02/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Ronne,Denmark,55.04695,14.693117,,,,,Baltic Sea,,,,,,biota,1,Wet weight,Mytilus edulis,,Baltic Sea,,Coastal region,,Molluscs (22488),Muscle,78.0,,Denmark
19819,CONNECT I+II LC,Real Sample,CONNECT 24 Mytilus edulis from North Sea,"Wed, 11/13/2019 - 22:00","Wed, 10/09/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Aarhus,Denmark,55.988017,11.30045,,,,,North Sea,,,,,,biota,1,Wet weight,Mytilus edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,87.0,,Denmark
19820,CONNECT I+II LC,Real Sample,CONNECT 24 Mytilus edulis from North Sea,"Wed, 11/13/2019 - 22:00","Wed, 10/09/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Aarhus,Denmark,55.988017,11.30045,,,,,North Sea,,,,,,biota,1,Wet weight,Mytilus edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,87.0,,Denmark
19821,CONNECT I+II LC,Real Sample,CONNECT 23 Pleuronectes platessa from Baltic Sea,"Mon, 11/18/2019 - 22:00","Mon, 10/14/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Funen,Denmark,54.792467,10.5655,,,,,Baltic Sea,,,,,,biota,1,Wet weight,Pleuronectes platessa,,Baltic Sea,,Coastal region,,Fish (22486),Muscle,82.0,,Denmark
19822,CONNECT I+II LC,Real Sample,CONNECT 23 Pleuronectes platessa from Baltic Sea,"Mon, 11/18/2019 - 22:00","Mon, 10/14/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Funen,Denmark,54.792467,10.5655,,,,,Baltic Sea,,,,,,biota,1,Wet weight,Pleuronectes platessa,,Baltic Sea,,Coastal region,,Fish (22486),Muscle,82.0,,Denmark
19823,CONNECT I+II LC,Real Sample,CONNECT 22 Pleuronectes platessa from Copenhagen harbour,"Sun, 12/15/2019 - 22:00","Sun, 11/10/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Copenhagen,Denmark,55.670984,12.653118,,,,,North Sea,,,,,,biota,1,Wet weight,Pleuronectes platessa,,North Sea,,Coastal region,,Fish (22486),Muscle,80.0,,Denmark
19824,CONNECT I+II LC,Real Sample,CONNECT 22 Pleuronectes platessa from Copenhagen harbour,"Sun, 12/15/2019 - 22:00","Sun, 11/10/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Copenhagen,Denmark,55.670984,12.653118,,,,,North Sea,,,,,,biota,1,Wet weight,Pleuronectes platessa,,North Sea,,Coastal region,,Fish (22486),Muscle,80.0,,Denmark
