ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),matrix,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),"Name of river, estuary, lake, reservoir or sea",Distance from the river source (km),Capacity population equivalent,Daily flow m^3/day,MES Dry matter content (mg/L),River basin,Sludge retention time (days),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1
25353,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew3_1 early sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,,,,,,,,,surface-water,River water,,,,,,,,,,,,,,,,,,
25354,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew3_2 late sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,,,,,,,,,surface-water,River water,,,,,,,,,,,,,,,,,,
25355,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew4_1 early sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,,,,,,,,,surface-water,River water,,,,,,,,,,,,,,,,,,
25356,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew4_1 late sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,,,,,,,,,surface-water,River water,,,,,,,,,,,,,,,,,,
25357,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew5_1 early sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,,,,,,,,,surface-water,River water,,,,,,,,,,,,,,,,,,
25358,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew5_1 late sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,,,,,,,,,surface-water,River water,,,,,,,,,,,,,,,,,,
25359,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample TB,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,,,,,,,,,surface-water,River water,,,,,,,,,,,,,,,,,,
25340,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,effluent of storm overflow basin,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23250,,Germany,,,,,,,,,,,wastewater,,,,,,,,,,,,,,,,,,,
25341,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,sewage treatment plant effluent,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23250,,Germany,,,,,,,,,,,wastewater,,,,,,,,,,,,,,,,Effluent wastewater,,,
25348,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,sewage treatment plant effluent,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,,,,,,,,,wastewater,,,,,,,,,,,,,,,,Effluent wastewater,,,
25349,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,effluent of storm overflow basin,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,,,,,,,,,wastewater,,,,,,,,,,,,,,,,Effluent wastewater,,,
