,sample_id,ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,PC1,PC2
32,56,56,LIFE APEX,Real Sample,LIFE APEX 20 Roach muscle from River Welland (Stamford Meadows),"Sun, 01/01/2017 - 00:00","Wed, 01/01/2020 - 00:00",LC-Bruker maXis QTOF: Submission #10,Northampton,UK,52.65425,-0.461188,Yes,Wet weight,Rutilus rutilus,,,Welland River,,River,,Welland River Basin,,Fish (22486),Muscle,,,UK,5847.001130562034,-2799.7348597076193
33,19056,19056,LIFE APEX,Real Sample,"LIFE APEX 193 Buzzard liver pooled from Santa Maria da Feira, Gondomar, Braga","Sun, 02/02/2020 - 22:00","Sun, 12/29/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Porto,Portugal,41.077999,-8.436219,1,Wet weight,Buzzard,,,,1.0,Terrestrial environment,,,,Bird (22511),Liver,76.42775344,,Portugal,-2494.6151974624527,-1886.7367719168442
34,21506,21506,LIFE APEX,Real Sample,LIFE APEX 45 Buzzard liver from North Rhine-Westphalia,"Mon, 01/01/2018 - 22:00","Mon, 11/27/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Dortmund,Germany,51.55107,6.685865,1,Dry weight,Buzzard,,,North Rhine-Westphalia,,Terrestrial environment,,North Rhine-Westphalia,,Other (22510),Liver,,,Germany,3842.7110142991974,-273.28620013655495
35,19172,19172,LIFE APEX,Real Sample,"LIFE APEX 137 White-tailed Sea Eagle muscle pooled from Sodermanland, Uppland","Sun, 01/01/2017 - 22:00","Sun, 11/27/2016 - 22:00",LC-Bruker maXis QTOF: Submission #11,Uppsala,Sweden,59.837659,17.547826,1,Wet weight,White-tailed Sea Eagle,,,,2.0,Terrestrial environment,,,,Bird (22511),Muscle,67.0,,Sweden,-2767.6255346219937,-696.452469041584
36,21549,21549,LIFE APEX,Real Sample,LIFE APEX 22 Otter liver from North East UK,"Fri, 01/01/2016 - 22:00","Fri, 11/27/2015 - 22:00",LC-Bruker maXis QTOF: Submission #11,Newcastle upon Tyne,UK,55.016114,-1.396547,1,Dry weight,Otter,,,North East UK,,Coastal region,,North East UK,,Other (22510),Liver,,,UK,-2877.8219128361943,-740.3007475210411
37,19958,19958,LIFE APEX,Real Sample,LIFE APEX 92 Harbour Seal liver from North Sea (2012),"Sun, 01/01/2012 - 22:00","Sun, 11/27/2011 - 22:00",LC-Bruker maXis QTOF: Submission #10,Cuxhaven,Germany,54.082933,8.48307,1,Wet weight,"Harbour Seal, Phoca vitulina",,,North Sea,,Coastal region,,North Sea Basin,,Other (22510),Liver,73.0,,Germany,1799.552880980499,447.06834349399475
38,19873,19873,LIFE APEX,Real Sample,LIFE APEX 132 Otter liver from England and Wales (2008),"Tue, 01/01/2008 - 22:00","Tue, 11/27/2007 - 22:00",LC-Bruker maXis QTOF: Submission #11,London,UK,51.57467,-1.067028,0,Wet weight,"Eurasian Otter, Lutra lutra",,,UK,,River,,,,Other (22510),Liver,67.2673737,,Canada,-2913.088495749329,-312.7357423582409
39,21458,21458,LIFE APEX,Real Sample,LIFE APEX 67 Otter liver from Hohn,"Fri, 01/01/2016 - 22:00","Fri, 11/27/2015 - 22:00",LC-Bruker maXis QTOF: Submission #10,Rendsburg,Germany,54.30341,9.478417,1,Dry weight,Otter,,,Hohner Lake,,River,,Hohner Lake,,Other (22510),Liver,,,Germany,588.9861769000869,1670.0130593585018
40,44,44,LIFE APEX,Real Sample,LIFE APEX 08 Eelpout muscle from North Sea Varel Mellum,"Thu, 01/01/2015 - 00:00","Thu, 01/01/2015 - 00:00",LC-Bruker maXis QTOF: Submission #10,Wilhelmshaven,Germany,53.54,8.11,Yes,Wet weight,Gymnelus hemifasciatus,,,North Sea,,River,,North Sea,,,Muscle,,,Germany,-115.43161989163879,3023.930785089383
41,19065,19065,LIFE APEX,Real Sample,LIFE APEX 189 Buzzard liver pooled from Midle Saxony,"Thu, 01/01/2015 - 22:00","Thu, 11/27/2014 - 22:00",LC-Bruker maXis QTOF: Submission #10,Dresden,Germany,51.100723,13.825774,1,Wet weight,Buzzard,,,,2.0,Terrestrial environment,,,,Bird (22511),Liver,73.03709437,,Germany,5654.329317004075,-2770.998426649391
42,19148,19148,LIFE APEX,Real Sample,LIFE APEX 167 Harbour Porpoise liver pooled from Odessa,"Sun, 02/02/2020 - 22:00","Sun, 12/29/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Norway,46.469803,30.767571,1,Wet weight,Harbour Porpoise,,,,1.0,Marine environment,,,,Fish (22486),Liver,72.94176098,,Ukraine,-2649.168605133181,-1729.1817718103978
43,19150,19150,LIFE APEX,Real Sample,LIFE APEX 166 Bottlenose dolphin liver pooled from Western Isles,"Sun, 02/02/2020 - 22:00","Sun, 12/29/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Leverburgh,UK,57.763929,-7.020016,1,Wet weight,Bottlenose dolphin,,,,8.0,Marine environment,,,,Fish (22486),Liver,70.00701805,,UK,-2856.9152999378894,-293.50017726066045
44,19058,19058,LIFE APEX,Real Sample,LIFE APEX 192 Buzzard liver pooled from Sint-Truiden,"Tue, 02/02/2021 - 22:00","Tue, 12/29/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Sint-Truiden,Belgium,50.871641,5.215332,1,Wet weight,Buzzard,,,,2.0,Terrestrial environment,,,,Bird (22511),Liver,74.89249187,,Belgium,-2569.3487979888023,-1399.7426168960753
45,20008,20008,LIFE APEX,Real Sample,LIFE APEX 68 Bream muscle from Rhine Bimmen (1996),"Mon, 01/01/1996 - 22:00","Mon, 11/27/1995 - 22:00",LC-Bruker maXis QTOF: Submission #10,Bimmen,Germany,51.86051,6.071775,1,Wet weight,"Bream, Abramis brama",,,Rhine River,,River,,Rhine River Basin,,Fish (22486),Muscle,82.0,,Germany,-153.44795243851127,2386.6846665331273
46,19070,19070,LIFE APEX,Real Sample,LIFE APEX 186 Buzzard liver pooled from Madrid,"Sun, 02/02/2020 - 22:00","Sun, 12/29/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Madrid,Spain,40.707833,-3.853027,1,Wet weight,Buzzard,,,,3.0,Terrestrial environment,,,,Bird (22511),Liver,72.30854819,,Spain,-2425.2920068493117,-1904.4969098839092
47,19927,19927,LIFE APEX,Real Sample,LIFE APEX 106 Buzzard liver from England (2012),"Sun, 01/01/2012 - 22:00","Sun, 11/27/2011 - 22:00",LC-Bruker maXis QTOF: Submission #11,London,UK,51.329021,0.379717,0,Wet weight,"Buzzard, Buteo buteo",,,UK,,Terrestrial environment,,,,Other (22510),Liver,71.83446945,,Canada,-3025.3970911619977,-662.6705310583012
48,21570,21570,LIFE APEX,Real Sample,LIFE APEX 12 Buzzard liver from South Lincolnshire,"Sun, 01/01/2017 - 22:00","Sun, 11/27/2016 - 22:00",LC-Bruker maXis QTOF: Submission #10,Lincoln,UK,53.229319,-0.293403,1,Dry weight,Buzzard,,,South Lincolnshire,,Terrestrial environment,,South Lincolnshire,,Other (22510),Liver,,,UK,3900.64439738615,353.29220901986344
49,19159,19159,LIFE APEX,Real Sample,LIFE APEX 162 Short-beaked common dolphin liver pooled from Scoltand and western isles,"Thu, 01/01/2015 - 22:00","Thu, 11/27/2014 - 22:00",LC-Bruker maXis QTOF: Submission #10,Glasgow,UK,55.927465,-4.571935,1,Wet weight,Short-beaked common dolphin,,,,5.0,Marine environment,,,,Fish (22486),Liver,66.01463357,,UK,2069.5023038289587,1327.9423628619465
50,20004,20004,LIFE APEX,Real Sample,LIFE APEX 70 Bream muscle from Rhine Bimmen (2000),"Sat, 01/01/2000 - 22:00","Sat, 11/27/1999 - 22:00",LC-Bruker maXis QTOF: Submission #10,Bimmen,Germany,51.86051,6.071775,1,Wet weight,"Bream, Abramis brama",,,Rhine River,,River,,Rhine River Basin,,Fish (22486),Muscle,80.0,,Germany,166.8316672056489,2342.816313193681
51,21544,21544,LIFE APEX,Real Sample,LIFE APEX 25 Otter liver from North Wales,"Sun, 01/01/2017 - 22:00","Sun, 11/27/2016 - 22:00",LC-Bruker maXis QTOF: Submission #10,Liverpool,UK,52.746127,-3.96748,1,Dry weight,Otter,,,North Wales,,River,,North Wales,,Other (22510),Liver,,,UK,4195.949460036908,279.6449835200599
52,21512,21512,LIFE APEX,Real Sample,LIFE APEX 42 Buzzard liver from Lower Saxony,"Mon, 01/01/2018 - 22:00","Mon, 11/27/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Hanover,Germany,52.378424,9.695191,1,Dry weight,Buzzard,,,Lower Saxony,,Terrestrial environment,,Lower Saxony,,Other (22510),Liver,,,Germany,3510.2464409043228,-99.70489578221422
53,19875,19875,LIFE APEX,Real Sample,LIFE APEX 131 Otter liver from England and Wales (2018),"Mon, 01/01/2018 - 22:00","Mon, 11/27/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,London,UK,51.57467,-1.067028,0,Wet weight,"Eurasian Otter, Lutra lutra",,,UK,,River,,,,Other (22510),Liver,67.46431726,,Canada,-2969.3463945666285,-478.7582209732168
54,19894,19894,LIFE APEX,Real Sample,LIFE APEX 122 Otter liver from England and Wales (2009),"Thu, 01/01/2009 - 22:00","Thu, 11/27/2008 - 22:00",LC-Bruker maXis QTOF: Submission #10,London,UK,51.57467,-1.067028,0,Wet weight,"Eurasian Otter, Lutra lutra",,,UK,,River,,,,Other (22510),Liver,67.0,,Canada,2717.7654009361427,-503.1460542201941
55,21513,21513,LIFE APEX,Real Sample,LIFE APEX 41 Buzzard liver from Berlin,"Mon, 01/01/2018 - 22:00","Mon, 11/27/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Berlin,Germany,52.553125,13.223138,1,Dry weight,Buzzard,,,Berlin area,,Terrestrial environment,,Berlin area,,Other (22510),Liver,,,Germany,-3081.5873942238027,-582.1875986578726
56,19899,19899,LIFE APEX,Real Sample,"LIFE APEX 119 Otter liver from England and Wales (2005, 2006)","Sat, 01/01/2005 - 22:00","Sat, 11/27/2004 - 22:00",LC-Bruker maXis QTOF: Submission #11,London,UK,51.57467,-1.067028,0,Wet weight,"Eurasian Otter, Lutra lutra",,,UK,,River,,,,Other (22510),Liver,62.0,,Canada,-2976.116804818534,-986.5298297623307
57,19998,19998,LIFE APEX,Real Sample,LIFE APEX 73 Bream muscle from Rhine Bimmen (2006),"Sun, 01/01/2006 - 22:00","Sun, 11/27/2005 - 22:00",LC-Bruker maXis QTOF: Submission #10,Bimmen,Germany,51.86051,6.071775,1,Wet weight,"Bream, Abramis brama",,,Rhine River,,River,,Rhine River Basin,,Fish (22486),Muscle,79.0,,Germany,483.29976234556517,2426.294910300412
58,43,43,LIFE APEX,Real Sample,LIFE APEX 07 Herring gull eggs from North Sea Trischen,"Thu, 01/01/2015 - 00:00","Wed, 01/01/2020 - 00:00",LC-Bruker maXis QTOF: Submission #10,Cuxhaven,Germany,53.87,8.69,Yes,Wet weight,,,,North sea,,River,,North sea,,,Egg,,,Germany,427.1899924157538,3103.4298460302125
59,19052,19052,LIFE APEX,Real Sample,"LIFE APEX 195 Buzzard liver pooled from Coimbra, Viseu","Sun, 02/02/2020 - 22:00","Sun, 12/29/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Coimbra,Portugal,40.224815,-8.319192,1,Wet weight,Buzzard,,,,2.0,Terrestrial environment,,,,Bird (22511),Liver,72.0,,Portugal,-2640.491853891001,-1296.5017004688518
60,19072,19072,LIFE APEX,Real Sample,LIFE APEX 185 Buzzard liver pooled from Madrid,"Mon, 01/01/2018 - 22:00","Mon, 11/27/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Madrid,Spain,40.635317,-3.904246,1,Wet weight,Buzzard,,,,3.0,Terrestrial environment,,,,Bird (22511),Liver,66.42649034,,Spain,-2432.8191092718203,-2256.8887592102797
