Liver,Muscle,Egg,Other,id
True,True,True,False,NS00033411
True,True,False,False,NS00021677
True,True,False,True,NS00096699
True,False,False,False,NS00022729
True,False,False,False,NS00044380
True,False,False,False,NS00021741
True,False,False,False,NS00113877
True,True,False,True,NS00089802
True,True,True,True,NS00070100
True,False,False,False,NS00031184
True,True,True,True,NS00044317
True,True,True,True,NS00015339
True,False,False,False,NS00055438
True,True,False,True,NS00065004
True,True,False,True,NS00018022
True,True,False,False,NS00026904
True,False,False,False,NS00102809
True,False,False,False,NS00070904
True,True,True,True,NS00015522
True,False,False,False,NS00051692
True,True,False,True,NS00047760
True,False,False,False,NS00030218
True,False,False,False,NS00038327
True,True,False,False,NS00023592
True,True,True,True,NS00055217
True,True,True,True,NS00103545
True,True,True,True,NS00039122
True,False,False,False,NS00090661
True,True,False,False,NS00058902
True,True,False,True,NS00021840
True,False,False,False,NS00067920
True,False,False,False,NS00001513
True,False,False,False,NS00070325
True,False,False,False,NS00103636
True,False,False,False,NS00041512
True,True,False,True,NS00073226
True,False,False,False,NS00038136
True,True,True,True,NS00043335
True,False,False,False,NS00047419
True,True,False,True,NS00003807
True,False,False,False,NS00011953
True,False,False,False,NS00012961
True,False,False,False,NS00022233
True,True,False,True,NS00088679
True,False,False,False,NS00046705
True,False,False,False,NS00103743
True,True,False,True,NS00049122
True,True,True,True,NS00029392
True,False,False,False,NS00064390
True,True,False,True,NS00032219
True,False,False,False,NS00010557
True,True,True,False,NS00048063
True,True,True,True,NS00005364
True,False,False,False,NS00032076
True,False,False,False,NS00077374
True,False,False,False,NS00097427
True,False,False,False,NS00017979
True,True,True,True,NS00004520
True,False,False,True,NS00086912
True,True,False,True,NS00011929
True,True,False,True,NS00010521
True,True,False,True,NS00026057
True,False,False,True,NS00056957
True,False,False,False,NS00028208
True,False,False,False,NS00076874
True,True,False,False,NS00050715
True,False,False,False,NS00056492
True,True,False,True,NS00009930
True,True,False,False,NS00046310
True,True,False,False,NS00055801
True,False,False,False,NS00098064
True,True,False,False,NS00046549
True,True,False,False,NS00043834
True,True,False,True,NS00033142
True,True,True,True,NS00036692
True,False,False,False,NS00033763
True,True,True,True,NS00096371
True,False,False,False,NS00103580
True,True,False,False,NS00098641
True,False,False,False,NS00062606
True,True,False,False,NS00016530
True,True,False,False,NS00023584
True,False,False,False,NS00056023
True,True,False,False,NS00001574
True,False,False,False,NS00046519
True,True,True,True,NS00028987
True,False,False,False,NS00062676
True,True,True,False,NS00064092
True,False,False,False,NS00011525
True,True,True,True,NS00050809
True,False,False,False,NS00023405
True,True,False,True,NS00010730
True,True,True,True,NS00000678
True,True,False,False,NS00070474
True,True,False,False,NS00017059
True,True,True,True,NS00093370
True,True,False,True,NS00034738
True,True,False,True,NS00076566
True,True,False,False,NS00061609
True,False,False,False,NS00022225
True,True,False,False,NS00038808
True,True,False,True,NS00039453
True,False,False,False,NS00005455
True,True,True,True,NS00064773
True,False,False,False,NS00056741
True,True,False,True,NS00066700
